date,campaign_id,campaign_name,spend,impressions,clicks
2025-01-01,goog_search,Search - Brand,92.98,2415,41
2025-01-01,goog_pmax,Performance Max,242.59,5427,74
2025-01-02,goog_search,Search - Brand,104.18,2481,36
2025-01-02,goog_pmax,Performance Max,168.33,4458,50
2025-01-03,goog_search,Search - Brand,91.76,1711,33
2025-01-03,goog_pmax,Performance Max,203.83,6032,97
2025-01-04,goog_search,Search - Brand,64.6,1334,24
2025-01-04,goog_pmax,Performance Max,147.47,3043,43
2025-01-05,goog_search,Search - Brand,79.53,1666,22
2025-01-05,goog_pmax,Performance Max,153.19,2242,38
2025-01-06,goog_search,Search - Brand,93.8,2834,29
2025-01-06,goog_pmax,Performance Max,168.43,5010,43
2025-01-07,goog_search,Search - Brand,96.06,2631,35
2025-01-07,goog_pmax,Performance Max,166.67,4292,61
2025-01-08,goog_search,Search - Brand,120.11,3285,89
2025-01-08,goog_pmax,Performance Max,167.05,4161,44
2025-01-09,goog_search,Search - Brand,118.6,3354,60
2025-01-09,goog_pmax,Performance Max,188.89,4159,28
2025-01-10,goog_search,Search - Brand,125.63,3396,47
2025-01-10,goog_pmax,Performance Max,231.85,6492,122
2025-01-11,goog_search,Search - Brand,65.74,1455,22
2025-01-11,goog_pmax,Performance Max,170.26,4908,53
2025-01-12,goog_search,Search - Brand,82.96,2805,49
2025-01-12,goog_pmax,Performance Max,180.5,4498,81
2025-01-13,goog_search,Search - Brand,127.11,3231,64
2025-01-13,goog_pmax,Performance Max,187.04,5117,95
2025-01-14,goog_search,Search - Brand,95.14,2796,34
2025-01-14,goog_pmax,Performance Max,188.94,4722,107
2025-01-15,goog_search,Search - Brand,108.54,3119,37
2025-01-15,goog_pmax,Performance Max,211.26,4287,54
2025-01-16,goog_search,Search - Brand,115.25,2863,59
2025-01-16,goog_pmax,Performance Max,204.4,4948,99
2025-01-17,goog_search,Search - Brand,96.67,1829,36
2025-01-17,goog_pmax,Performance Max,220.07,3595,54
2025-01-18,goog_search,Search - Brand,78.12,2498,30
2025-01-18,goog_pmax,Performance Max,152.76,3262,35
2025-01-19,goog_search,Search - Brand,75.26,1449,15
2025-01-19,goog_pmax,Performance Max,132.65,2521,22
2025-01-20,goog_search,Search - Brand,98.5,2193,22
2025-01-20,goog_pmax,Performance Max,222.21,5512,73
2025-01-21,goog_search,Search - Brand,99.3,3115,49
2025-01-21,goog_pmax,Performance Max,222.31,3258,40
2025-01-22,goog_search,Search - Brand,77.82,1812,29
2025-01-22,goog_pmax,Performance Max,193.45,5237,57
2025-01-23,goog_search,Search - Brand,112.6,2115,29
2025-01-23,goog_pmax,Performance Max,221.25,6005,87
2025-01-24,goog_search,Search - Brand,129.94,3033,40
2025-01-24,goog_pmax,Performance Max,141.0,4522,61
2025-01-25,goog_search,Search - Brand,70.9,2147,42
2025-01-25,goog_pmax,Performance Max,167.26,3221,53
2025-01-26,goog_search,Search - Brand,76.46,1553,29
2025-01-26,goog_pmax,Performance Max,122.95,3352,56
2025-01-27,goog_search,Search - Brand,131.66,3462,23
2025-01-27,goog_pmax,Performance Max,190.1,4801,78
2025-01-28,goog_search,Search - Brand,118.18,2028,27
2025-01-28,goog_pmax,Performance Max,236.08,7360,165
2025-01-29,goog_search,Search - Brand,100.86,2964,64
2025-01-29,goog_pmax,Performance Max,242.06,6752,123
2025-01-30,goog_search,Search - Brand,95.86,1841,34
2025-01-30,goog_pmax,Performance Max,202.98,5051,64
2025-01-31,goog_search,Search - Brand,100.99,2618,28
2025-01-31,goog_pmax,Performance Max,213.71,5553,81
2025-02-01,goog_search,Search - Brand,75.6,2127,47
2025-02-01,goog_pmax,Performance Max,154.04,4611,85
2025-02-02,goog_search,Search - Brand,56.62,1243,15
2025-02-02,goog_pmax,Performance Max,181.73,4680,79
2025-02-03,goog_search,Search - Brand,114.34,2447,29
2025-02-03,goog_pmax,Performance Max,181.29,4408,64
2025-02-04,goog_search,Search - Brand,108.5,2396,44
2025-02-04,goog_pmax,Performance Max,236.03,7360,131
2025-02-05,goog_search,Search - Brand,108.77,3011,52
2025-02-05,goog_pmax,Performance Max,196.15,5915,129
2025-02-06,goog_search,Search - Brand,131.74,3312,53
2025-02-06,goog_pmax,Performance Max,223.6,5587,97
2025-02-07,goog_search,Search - Brand,105.01,2543,56
2025-02-07,goog_pmax,Performance Max,217.34,5491,101
2025-02-08,goog_search,Search - Brand,84.97,2223,32
2025-02-08,goog_pmax,Performance Max,142.48,3544,37
2025-02-09,goog_search,Search - Brand,85.63,1736,32
2025-02-09,goog_pmax,Performance Max,182.07,4755,69
2025-02-10,goog_search,Search - Brand,112.15,1922,20
2025-02-10,goog_pmax,Performance Max,209.81,5535,81
2025-02-11,goog_search,Search - Brand,94.01,2400,31
2025-02-11,goog_pmax,Performance Max,186.38,4905,69
2025-02-12,goog_search,Search - Brand,122.34,3384,60
2025-02-12,goog_pmax,Performance Max,222.21,4804,54
2025-02-13,goog_search,Search - Brand,88.16,3219,34
2025-02-13,goog_pmax,Performance Max,208.73,4917,68
2025-02-14,goog_search,Search - Brand,99.63,1746,19
2025-02-14,goog_pmax,Performance Max,178.53,4372,53
2025-02-15,goog_search,Search - Brand,77.0,1991,25
2025-02-15,goog_pmax,Performance Max,186.6,4376,69
2025-02-16,goog_search,Search - Brand,70.62,1951,26
2025-02-16,goog_pmax,Performance Max,176.2,4637,66
2025-02-17,goog_search,Search - Brand,110.19,2584,52
2025-02-17,goog_pmax,Performance Max,238.86,6432,66
2025-02-18,goog_search,Search - Brand,93.3,2084,29
2025-02-18,goog_pmax,Performance Max,226.5,4850,95
2025-02-19,goog_search,Search - Brand,107.6,1823,23
2025-02-19,goog_pmax,Performance Max,148.38,3263,41
2025-02-20,goog_search,Search - Brand,99.76,2364,31
2025-02-20,goog_pmax,Performance Max,199.94,6200,123
2025-02-21,goog_search,Search - Brand,92.96,2790,23
2025-02-21,goog_pmax,Performance Max,194.39,6045,36
2025-02-22,goog_search,Search - Brand,90.19,1802,25
2025-02-22,goog_pmax,Performance Max,165.09,5248,61
2025-02-23,goog_search,Search - Brand,83.74,2303,32
2025-02-23,goog_pmax,Performance Max,152.21,3769,57
2025-02-24,goog_search,Search - Brand,119.43,2535,33
2025-02-24,goog_pmax,Performance Max,224.31,5457,77
2025-02-25,goog_search,Search - Brand,107.83,2395,28
2025-02-25,goog_pmax,Performance Max,227.54,4691,92
2025-02-26,goog_search,Search - Brand,110.96,2207,35
2025-02-26,goog_pmax,Performance Max,220.61,6187,121
2025-02-27,goog_search,Search - Brand,103.46,2293,28
2025-02-27,goog_pmax,Performance Max,190.96,4203,67
2025-02-28,goog_search,Search - Brand,108.5,2499,30
2025-02-28,goog_pmax,Performance Max,225.65,5188,56
2025-03-01,goog_search,Search - Brand,83.28,1993,21
2025-03-01,goog_pmax,Performance Max,186.49,5293,80
2025-03-02,goog_search,Search - Brand,86.22,2337,34
2025-03-02,goog_pmax,Performance Max,187.93,5943,91
2025-03-03,goog_search,Search - Brand,114.29,3256,44
2025-03-03,goog_pmax,Performance Max,187.71,5373,46
2025-03-04,goog_search,Search - Brand,131.95,3758,59
2025-03-04,goog_pmax,Performance Max,218.6,6996,78
